nag 7591,7,strong|7592,7,a|7593,8,img
new 5376,478,unsigned|5376,432,unsigned|5376,432,unsigned|5376,565,unsigned|5376,542,unsigned|5376,132,stringcontainerrm,|5376,478,unsigned|5376,478,unsigned|5376,2707,unsigned|5391,79,rares|5391,1530,rares|5437,220,binary_io<uint|5439,181,string|5444,39,char*|5444,83,char*|5447,2311,algorithm|5447,2428,algorithm|5447,6289,unsigned,|5447,6373,unsigned,|5447,7090,unsigned,|5447,7176,unsigned,|5451,10,array<posid|5451,326,heapmergeelement<invlist|5451,6,invlist|5451,2259,unsigned|5471,749,iostream|5471,250,uint|5471,314,uint|5471,315,uint|5475,413,p|5475,542,p|5478,14,gramcodes.size();j++)|5478,13,unsigned|5481,194,string|5481,329,string|5481,515,string|5481,789,string|5481,126,char*|5481,371,char*|5492,284,string|5492,311,string|5492,341,string|5492,556,string|5492,614,string|5492,673,string|5492,1948,string|5492,2044,string|5492,2155,string|5492,2319,string|5505,108,rares|5505,157,rares|5528,284,string|5528,311,string|5528,341,string|5528,556,string|5528,614,string|5528,673,string|5528,1950,string|5528,2046,string|5528,2157,string|5528,2323,string|5535,579,iomanip|5535,657,iomanip|5536,284,string|5536,311,string|5536,341,string|5536,556,string|5536,614,string|5536,673,string|5536,1948,string|5536,2044,string|5536,2155,string|5536,2319,string|5539,43,unsigned|5539,91,unsigned|5539,195,unsigned|5539,255,unsigned|5539,315,unsigned|5539,373,unsigned|5539,95,unsigned|5539,160,unsigned|5595,43,unsigned|5595,91,unsigned|5595,195,unsigned|5595,255,unsigned|5595,315,unsigned|5595,373,unsigned|5595,95,unsigned|5595,160,unsigned|5604,194,string|5604,329,string|5604,515,string|5604,789,string|5604,126,char*|5604,371,char*|5624,8,uint|5628,37,unsigned|5628,87,unsigned|5628,133,unsigned|5628,14,unsigned|5628,18,unsigned|5628,37,unsigned|5628,87,unsigned|5628,10,unsigned|5628,37,unsigned|5628,87,unsigned|5628,133,unsigned|5628,10,unsigned|5628,479,unsigned|5628,11,unsigned|5628,13,unsigned|5628,14,simtype|5628,11,unsigned|5636,200,climits|5636,257,climits|5636,1115,climits|5636,1755,climits|5636,2303,climits|5636,3069,climits|5636,2505,unsigned|5636,2539,unsigned|5636,2620,unsigned|5636,2660,unsigned|5659,39,char*|5659,83,char*|5691,55,containersize;i++)|5691,127,containersize;i++)|5711,383,indexer|5721,10,array<posid|5721,326,heapmergeelement<invlist|5721,6,invlist|5721,2259,unsigned|5728,29,span|5747,409,p|5747,538,p|5775,473,string|5775,532,string|5775,590,string|5775,647,string|5775,704,string|5775,171,unsigned|5775,356,query*|5775,375,query*|5775,431,query*|5775,189,unsigned|5775,392,query*|5775,411,query*|5775,469,query*|5775,189,unsigned|5775,392,query*|5775,411,query*|5775,469,query*|5775,192,unsigned|5775,398,query*|5775,417,query*|5775,475,query*|5775,245,unsigned|5775,453,query*|5775,472,query*|5775,530,query*|5775,246,unsigned|5775,458,query*|5775,477,query*|5775,535,query*|5775,246,unsigned|5775,455,query*|5775,474,query*|5775,532,query*|5775,247,unsigned|5775,460,query*|5775,479,query*|5775,537,query*|5775,197,unsigned|5775,402,query*|5775,421,query*|5775,479,query*|5775,235,unsigned|5775,439,query*|5775,458,query*|5775,516,query*|5808,79,rares|5808,1530,rares|5865,62,yimingl@ics.uci.edu|5865,805,yimingl@ics.uci.edu|5865,2404,yimingl@ics.uci.edu|5867,12,li|5868,79,rvernica@ics.uci.edu|5868,1530,rvernica@ics.uci.edu|5884,108,rares|5884,157,rares|5903,108,rvernica@ics.uci.edu|5903,157,rvernica@ics.uci.edu|5933,142,string|5933,520,string|5933,678,string|5947,10,unsigned|5947,11,double|5947,11,double|5947,55,float|5956,194,string|5956,329,string|5956,515,string|5956,789,string|5956,126,char*|5956,371,char*|5961,43,unsigned|5961,91,unsigned|5961,195,unsigned|5961,255,unsigned|5961,315,unsigned|5961,373,unsigned|5961,95,unsigned|5961,160,unsigned|5981,12,listsnumber;i++)|5981,46,unsigned|5981,121,unsigned|5981,187,unsigned|5998,43,unsigned|5998,91,unsigned|5998,195,unsigned|5998,255,unsigned|5998,315,unsigned|5998,373,unsigned|5998,95,unsigned|5998,160,unsigned|6022,101,limits|6022,145,limits|6022,1279,string|6022,587,float|6022,1066,float|6030,10,unsigned|6030,11,double|6030,11,double|6038,473,string|6038,532,string|6038,590,string|6038,647,string|6038,704,string|6038,170,unsigned|6038,358,query*|6038,377,query*|6038,429,query*|6054,78,cstring|6054,207,cstring|6054,1076,unsigned,|6054,1092,unsigned,|6054,1151,unsigned,|6054,1167,unsigned,|6054,200,string|6054,326,string|6054,699,string|6054,1043,string|6054,590,string|6070,331,unsigned,|6070,35,string|6070,235,unsigned,|6070,2117,nodepriority|6070,2342,nodepriority|6070,627,unsigned|6070,852,unsigned|6070,10,unsigned|6070,188,string|6070,200,string|6079,10,unsigned|6079,11,double|6079,11,double|6079,55,float|6129,11,li|6140,181,string|6145,226,uint|6145,263,uint|6145,503,float|6145,735,float|6146,101,limits|6146,145,limits|6146,1279,string|6146,587,float|6146,1066,float|6155,79,rares|6155,1530,rares|6186,292,string|6186,440,string|6186,155,unsigned,|6186,97,unsigned,|6186,197,char*|6186,109,char*|6197,79,rares|6197,1530,rares|6220,300,string|6228,194,string|6228,329,string|6228,515,string|6228,789,string|6228,126,char*|6228,371,char*|6241,205,querygramlist<array<posid|6246,478,unsigned|6246,432,unsigned|6246,432,unsigned|6246,478,unsigned|6246,565,unsigned|6246,542,unsigned|6246,132,stringcontainerrm,|6246,478,unsigned|6246,478,unsigned|6246,2707,unsigned|6247,55,containersize;i++)|6247,127,containersize;i++)|6250,642,arraywithposition|6250,731,arraywithposition|6287,1251,abehm|6287,1461,abehm|6287,1628,abehm|6287,1946,abehm|6290,12,listsnumber;i++)|6290,46,unsigned|6290,121,unsigned|6290,187,unsigned|6298,579,iomanip|6298,657,iomanip|6302,142,string|6302,520,string|6302,678,string|6304,641,abehm|6304,772,abehm|6305,353,iostream|6305,634,iostream|6305,828,iostream|6305,854,iostream|6305,1007,iostream|6305,2532,iostream|6305,2960,iostream|6305,3032,iostream|6305,3431,iostream|6305,3703,iostream|6305,4216,iostream|6305,4382,iostream|6305,4678,iostream|6305,4722,iostream|6305,5034,iostream|6305,5201,iostream|6305,6106,iostream|6305,6612,iostream|6305,6929,iostream|6305,7136,iostream|6305,8260,iostream|6305,8431,iostream|6305,8703,iostream|6305,8752,iostream|6305,9319,iostream|6305,10129,iostream|6310,194,string|6310,329,string|6310,515,string|6310,789,string|6310,126,char*|6310,371,char*|6334,23,query**|6370,67,array<uint|6370,119,array<uint|6382,108,rares|6382,157,rares|6386,70,rvernica@ics.uci.edu|6408,2311,algorithm|6408,2428,algorithm|6408,6289,unsigned,|6408,6373,unsigned,|6408,7090,unsigned,|6408,7176,unsigned,|6411,292,string|6411,440,string|6411,155,unsigned,|6411,97,unsigned,|6411,197,char*|6411,109,char*|6463,101,limits|6463,145,limits|6463,1279,string|6463,587,float|6463,1066,float|6486,12,listsnumber;i++)|6486,46,unsigned|6486,121,unsigned|6486,187,unsigned|6515,70,rares|6530,101,limits|6530,145,limits|6530,1279,string|6530,587,float|6530,1066,float|6542,39,char*|6542,83,char*|6558,585,iomanip|6558,663,iomanip|6565,12,listsnumber;i++)|6565,46,unsigned|6565,121,unsigned|6565,187,unsigned|6579,642,arraywithposition|6579,731,arraywithposition|6595,689,double,|6595,3810,double|6605,1329,algorithm|6605,1716,algorithm|6605,2038,algorithm|6654,1220,abehm|6654,1393,abehm|6659,334,string|6659,393,string|6664,300,string|6682,200,climits|6682,257,climits|6682,1115,climits|6682,1740,climits|6682,2288,climits|6682,3054,climits|6682,2505,unsigned|6682,2539,unsigned|6682,2620,unsigned|6682,2660,unsigned|6768,749,iostream|6768,250,uint|6768,314,uint|6768,315,uint|6823,15,record|6823,43,record|6823,70,record|6823,683,record|6823,711,record|6823,738,record|6823,9,uint|6823,9,uint|6848,334,string|6853,292,string|6853,440,string|6853,155,unsigned,|6853,97,unsigned,|6853,197,char*|6853,109,char*|6859,6,unsigned|6859,6,unsigned|6862,116,cstring|6862,287,cstring|6862,1092,unsigned,|6862,1108,unsigned,|6862,1290,unsigned,|6862,1306,unsigned,|6875,473,string|6875,532,string|6875,590,string|6875,647,string|6875,704,string|6875,171,unsigned|6875,356,query*|6875,374,query*|6875,430,query*|6875,190,unsigned|6875,394,query*|6875,412,query*|6875,470,query*|6875,190,unsigned|6875,394,query*|6875,412,query*|6875,470,query*|6875,193,unsigned|6875,400,query*|6875,418,query*|6875,476,query*|6875,246,unsigned|6875,455,query*|6875,473,query*|6875,531,query*|6875,247,unsigned|6875,460,query*|6875,478,query*|6875,536,query*|6875,247,unsigned|6875,457,query*|6875,475,query*|6875,533,query*|6875,248,unsigned|6875,462,query*|6875,480,query*|6875,538,query*|6875,198,unsigned|6875,404,query*|6875,422,query*|6875,480,query*|6875,236,unsigned|6875,441,query*|6875,459,query*|6875,517,query*|6883,409,p|6883,538,p|6907,44,char*|6917,142,string|6917,520,string|6917,678,string|6922,44,char*|6932,23,query**|6936,116,cstring|6936,287,cstring|6936,1092,unsigned,|6936,1108,unsigned,|6936,1290,unsigned,|6936,1306,unsigned,|6941,873,unsigned,|6951,14,gramcodes.size();j++)|6951,13,unsigned|6954,572,array<posid|6954,759,array<posid|6954,361,indexer|6954,445,indexer|6954,363,indexer|6954,363,indexer|6973,1251,abehm|6973,1461,abehm|6973,1628,abehm|6973,1946,abehm|6986,37,unsigned|6986,87,unsigned|6986,133,unsigned|6986,14,unsigned|6986,18,unsigned|6986,37,unsigned|6986,87,unsigned|6986,10,unsigned|6986,37,unsigned|6986,87,unsigned|6986,133,unsigned|6986,10,unsigned|6986,479,unsigned|6986,11,unsigned|6986,13,unsigned|6986,14,simtype|6986,11,unsigned|6988,194,string|6988,329,string|6988,515,string|6988,789,string|6988,126,char*|6988,371,char*|7001,37,unsigned|7001,87,unsigned|7001,133,unsigned|7001,14,unsigned|7001,18,unsigned|7001,37,unsigned|7001,87,unsigned|7001,10,unsigned|7001,37,unsigned|7001,87,unsigned|7001,133,unsigned|7001,10,unsigned|7001,479,unsigned|7001,11,unsigned|7001,13,unsigned|7001,14,simtype|7001,11,unsigned|7003,411,p|7003,540,p|7039,15,record|7039,43,record|7039,70,record|7039,683,record|7039,711,record|7039,738,record|7039,9,uint|7039,9,uint|7048,108,rares|7048,157,rares|7050,8,uint|7053,1329,algorithm|7053,1716,algorithm|7053,2038,algorithm|7057,10,unsigned|7057,11,double|7057,11,double|7057,55,float|7075,108,rares|7075,157,rares|7084,284,string|7084,311,string|7084,341,string|7084,556,string|7084,614,string|7084,673,string|7084,1948,string|7084,2044,string|7084,2155,string|7084,2319,string|7086,1091,uintptr_t,|7087,23,query**|7103,142,string|7103,520,string|7103,678,string|7119,79,rares|7119,1530,rares|7123,10,array<posid|7123,326,heapmergeelement<invlist|7123,6,invlist|7123,2259,unsigned|7138,642,arraywithposition|7138,731,arraywithposition|7140,75,string|7140,333,unsigned|7140,333,unsigned|7141,361,indexer|7141,445,indexer|7141,363,indexer|7141,363,indexer|7141,368,indexer,|7141,372,indexer,|7141,392,indexer,|7141,379,indexer,|7141,382,indexer,|7148,594,iostream|7148,250,uint|7148,314,uint|7148,315,uint|7154,200,climits|7154,257,climits|7154,1081,climits|7154,1721,climits|7154,2269,climits|7154,3011,climits|7154,1924,unsigned|7154,1958,unsigned|7154,2039,unsigned|7154,2079,unsigned|7207,433,unsigned|7207,378,unsigned|7207,378,unsigned|7207,514,unsigned|7207,491,unsigned|7207,132,stringcontainerrm,|7207,1284,stringcontainerrm,|7211,361,indexer|7211,445,indexer|7211,363,indexer|7211,363,indexer|7211,368,indexer,|7211,372,indexer,|7211,392,indexer,|7211,379,indexer,|7211,382,indexer,|7215,43,unsigned|7215,91,unsigned|7215,195,unsigned|7215,255,unsigned|7215,315,unsigned|7215,373,unsigned|7215,95,unsigned|7215,160,unsigned|7216,15,record|7216,43,record|7216,70,record|7216,683,record|7216,711,record|7216,738,record|7216,9,uint|7216,9,uint|7226,413,p|7226,542,p|7249,252,abehm|7249,310,abehm|7249,889,abehm|7249,1573,abehm|7261,67,array<uint|7261,119,array<uint|7268,2311,algorithm|7268,2428,algorithm|7268,6289,unsigned,|7268,6373,unsigned,|7268,7090,unsigned,|7268,7176,unsigned,|7272,369,uintptr_t,|7272,35,string|7272,257,uintptr_t,|7272,2135,nodepriority|7272,2387,nodepriority|7272,645,uintptr_t|7272,897,uintptr_t|7272,10,unsigned|7272,188,string|7272,200,string|7275,142,string|7275,580,string|7275,732,string|7292,14,gramcodes.size();j++)|7292,13,unsigned|7307,300,string|7347,1329,algorithm|7347,1716,algorithm|7347,2038,algorithm|7365,37,unsigned|7365,87,unsigned|7365,133,unsigned|7365,14,unsigned|7365,18,unsigned|7365,37,unsigned|7365,87,unsigned|7365,10,unsigned|7365,37,unsigned|7365,87,unsigned|7365,133,unsigned|7365,10,unsigned|7365,479,unsigned|7365,11,unsigned|7365,13,unsigned|7365,14,simtype|7365,11,unsigned|7366,70,rares|7385,334,string|7385,393,string|7396,226,uint|7396,263,uint|7396,503,float|7396,735,float|7397,14,gramcodes.size();j++)|7397,13,unsigned|7420,641,abehm|7420,772,abehm|7448,44,char*|7484,701,double,|7484,3793,double|7499,67,array<uint|7499,119,array<uint|7507,37,unsigned|7507,87,unsigned|7507,133,unsigned|7507,14,unsigned|7507,18,unsigned|7507,37,unsigned|7507,87,unsigned|7507,10,unsigned|7507,37,unsigned|7507,87,unsigned|7507,133,unsigned|7507,10,unsigned|7507,479,unsigned|7507,11,unsigned|7507,13,unsigned|7507,14,simtype|7507,11,unsigned|7509,1329,algorithm|7509,1716,algorithm|7509,2038,algorithm|7547,70,rares|7559,44,li|7559,428,p|7560,1470,pre|7560,1606,pre|7560,1742,pre|7560,1881,pre|7562,229,pre|7562,685,pre|7568,6,li|7568,6,li|7568,71,li|7583,32,p|7583,8,blockquote|7583,13,blockquote|7583,18,blockquote|7584,6,li|7584,6,li|7584,71,li|7587,5,span|7587,5,span|7587,5,span|7587,0,li|7587,5,span|7587,7,span|7587,7,span|7591,18,p|7591,329,p|7591,69,p|7593,1256,div|7594,4,div|7594,81,em|7594,1600,div|7596,24,p|7606,50,li|7606,264,pre|7606,359,pre|7611,82,p|7613,20,ins|7613,21,ins|7613,17,ins|7613,17,ins|7613,87,ins|7613,103,ins|7613,126,ins|7618,691,p|7618,36,li|7618,262,li|7620,82,p|7622,82,p|7623,82,p|7626,232,li|7626,14,li|7626,71,li|7626,278,li|7626,299,li|7631,6838,your|7631,8824,your|7631,9694,your|7631,10131,your|7631,10152,your|7633,10,p|7633,212,p|7636,112,pre|7636,164,pre|7636,536,pre|7636,1112,pre|7636,222,pre|7636,261,pre|7636,284,pre|7639,54,ins|7639,72,ins|7639,167,ins|7641,141,virtualhost|7641,43,virtualhost|7641,7588,virtualhost|7642,407,build|7642,607,build|7644,9,li|7644,0,strong|7646,195,li|7646,224,li|7646,8,li|7646,8,li|7646,13,p|7646,73,li|7657,108,span|7663,42,cat|7663,1099,a|7663,1146,a|7669,0,strong|7669,50,li|7669,264,pre|7669,359,pre|7671,691,p|7671,36,li|7671,262,li|7672,82,p|7674,81,p|7681,2504,attribute|7681,2557,attribute|7681,2945,attribute|7681,447,string|7681,3050,string|7681,454,attribute|7681,477,attribute|7682,691,p|7682,36,li|7682,262,li|7687,81,p|7691,50,li|7691,264,pre|7691,359,pre|7696,81,p|7697,53,p|7697,17,p|7697,26,li|7697,11,li|7701,85,li|7702,691,p|7702,36,li|7702,262,li|7711,82,p|7713,82,p|7715,9,li|7715,9,li|7715,10,li|7716,42,cat|7716,1200,a|7716,1247,a|7718,1230,string,|7718,2011,string,|7718,3158,string,|7724,66,p|7724,12,li|7724,35,p|7724,38,p|7724,8,p|7724,115,p|7724,10,p|7727,58,p|7727,61,p|7727,54,p|7730,81,p|7740,691,p|7740,36,li|7740,262,li|7742,82,p|7744,195,li|7744,224,li|7744,8,li|7744,13,p|7744,73,li|7745,82,p|7746,82,p|7748,112,pre|7748,164,pre|7748,536,pre|7748,1112,pre|7748,222,pre|7748,261,pre|7748,284,pre|7753,371,ins|7753,400,ins|7753,12,ins|7753,366,ins|7753,77,ins|7755,53,p|7758,691,p|7758,36,li|7758,505,li|7764,9,strong|7764,15,p|7764,9,strong|7764,15,p|7764,10,p|7764,232,li|7764,14,li|7764,71,li|7764,278,li|7764,299,li|7765,82,p|7767,691,p|7767,36,li|7769,96,p|7769,66,p|7769,12,li|7769,10,li|7769,24,li|7769,115,li|7769,139,li|7769,24,li|7769,35,p|7769,38,p|7769,8,p|7769,115,p|7769,10,p|7769,72,li|7769,119,li|7770,82,p|7771,82,p|7772,82,p|7774,92,span|7774,92,span|7778,42,cat|7778,1200,a|7778,1247,a|7780,691,p|7780,36,li|7780,262,li|7781,691,p|7781,36,li|7781,262,li|7788,9,h1|7788,36,li|7788,95,li|7788,104,li|7788,58,li|7791,66,p|7791,12,li|7791,35,p|7791,38,p|7791,8,p|7791,115,p|7791,10,p|7800,141,virtualhost|7800,43,virtualhost|7800,7955,virtualhost|7803,53,p|7804,53,p|7805,82,p|7806,691,p|7806,36,li|7806,92,li|7808,112,pre|7808,164,pre|7808,536,pre|7808,1112,pre|7808,222,pre|7808,261,pre|7808,284,pre|7811,691,p|7811,36,li|7811,505,li|7822,82,p|7823,82,p|7830,50,li|7830,250,pre|7830,345,pre|7833,61,p|7833,58,p|7842,42,cat|7842,1200,a|7842,1247,a|7844,691,p|7844,36,li|7844,262,li|7847,691,p|7847,36,li|7847,505,li|7848,52,ins|7849,89,attribute|7849,1910,attribute|7849,2926,attribute|7849,262,attribute|7849,482,attribute|7850,33,document|7850,1503,document|7852,53,p|7854,4350,bob's|7854,4672,bob's|7854,4767,bob's|7856,58,p|7856,61,p|7856,54,p|7857,81,p|7861,42,cat|7861,2862,a|7862,82,p|7863,82,p|7864,690,span|7865,691,p|7865,36,li|7865,505,li|7867,10,p|7867,212,p|7871,14,span|7873,82,p|7874,195,li|7874,224,li|7874,8,li|7874,8,li|7874,13,p|7874,73,li|7876,81,span|7879,50,ins|7881,82,p|7882,2504,attribute|7882,2557,attribute|7882,2945,attribute|7882,447,string|7882,3050,string|7882,454,attribute|7882,477,attribute|7883,82,p|7887,141,virtualhost|7887,46,virtualhost|7887,7875,virtualhost|7888,195,li|7888,224,li|7888,8,li|7888,13,p|7888,73,li|7892,691,p|7892,36,li|7892,262,li|7895,371,span|7895,400,span|7896,42,cat|7901,141,virtualhost|7901,43,virtualhost|7901,7934,virtualhost|7904,82,p|7909,112,pre|7909,164,pre|7909,536,pre|7909,1112,pre|7909,222,pre|7909,261,pre|7909,284,pre|7910,42,cat|7912,82,p|7913,691,p|7913,36,li|7913,262,li|7917,691,p|7917,36,li|7917,262,li|7921,82,p|7928,96,p|7928,66,p|7928,12,li|7928,10,li|7928,24,li|7928,115,li|7928,139,li|7928,24,li|7928,35,p|7928,38,p|7928,8,p|7928,115,p|7928,10,p|7928,72,li|7928,119,li|7932,82,p|7935,172,pre|7935,675,p|7935,23,p|7935,185,pre|7935,37,p|7935,154,p|7935,1170,p|7935,204,p|7935,424,p|7936,0,strong|7936,50,li|7936,264,pre|7936,359,pre|7939,691,p|7939,36,li|7939,262,li|7940,691,p|7940,36,li|7940,262,li
newarray 5691,4,array<unsigned|5691,107,sizeofinvertedlists;i++)|5691,264,sizeofinvertedlists;i++)|5691,4,array<unsigned|5691,174,unsigned|5691,372,unsigned|5691,8,unsigned|5691,230,unsigned|6247,4,array<unsigned|6247,107,sizeofinvertedlists;i++)|6247,264,sizeofinvertedlists;i++)|6247,4,array<unsigned|6247,174,unsigned|6247,372,unsigned|6247,8,unsigned|6247,230,unsigned
newattribcount 6054,369,string|6054,614,string
newchar 6184,791,string|6184,806,string|6184,825,string|6184,869,string|6184,1007,string|6184,1024,string|6184,1045,string|6184,1095,string|6592,791,string|6592,806,string|6592,825,string|6592,869,string|6592,1007,string|6592,1024,string|6592,1045,string|6592,1095,string|6728,791,string|6728,806,string|6728,825,string|6728,869,string|6728,1007,string|6728,1024,string|6728,1045,string|6728,1095,string|7490,791,string|7490,806,string|7490,825,string|7490,869,string|7490,1007,string|7490,1024,string|7490,1045,string|7490,1095,string
newdata 5691,32,containersize;i++)|6247,32,containersize;i++)|6605,1416,algorithm|6605,1561,algorithm|6605,1778,algorithm|6605,1989,algorithm|7053,1416,algorithm|7053,1561,algorithm|7053,1778,algorithm|7053,1989,algorithm|7347,1416,algorithm|7347,1561,algorithm|7347,1778,algorithm|7347,1989,algorithm|7509,1416,algorithm|7509,1561,algorithm|7509,1778,algorithm|7509,1989,algorithm
newdist 5628,787,simtype|5628,851,simtype|5628,934,simtype|6986,787,simtype|6986,851,simtype|6986,934,simtype|7001,787,simtype|7001,851,simtype|7001,934,simtype|7365,787,simtype|7365,851,simtype|7365,934,simtype|7507,787,simtype|7507,851,simtype|7507,934,simtype
newer 7727,156,p|7833,156,p|7856,156,p
newfil 6941,179,salsubai|6941,218,salsubai|6941,298,unsigned,|6941,313,unsigned,|6941,610,unsigned,|7086,185,salsubai|7086,227,salsubai|7086,336,uintptr_t,|7086,354,uintptr_t,|7086,681,uintptr_t,
newgrop 6305,9299,iostream|6305,9435,iostream|6305,9512,iostream
newgroup 6305,8410,iostream|6305,8545,iostream|6305,8623,iostream
newindex 6605,1812,algorithm|6605,2014,algorithm|7053,1812,algorithm|7053,2014,algorithm|7347,1812,algorithm|7347,2014,algorithm|7509,1812,algorithm|7509,2014,algorithm
newitem 6605,1517,algorithm|6605,1937,algorithm|7053,1517,algorithm|7053,1937,algorithm|7347,1517,algorithm|7347,1937,algorithm|7509,1517,algorithm|7509,1937,algorithm|7608,48,a|7722,48,a|7727,53,a|7792,1080,build|7833,53,a|7856,53,a
newli 7583,61,blockquote|7613,793,ins|7636,793,p|7748,793,p|7808,793,p|7849,2523,attribute|7909,793,p|7935,90,p|7935,767,p
newobjectid 6250,484,arraywithposition|6250,533,arraywithposition|6250,624,arraywithposition|6250,793,arraywithposition|6250,860,arraywithposition|6579,484,arraywithposition|6579,533,arraywithposition|6579,624,arraywithposition|6579,793,arraywithposition|6579,860,arraywithposition|7138,484,arraywithposition|7138,533,arraywithposition|7138,624,arraywithposition|7138,793,arraywithposition|7138,860,arraywithposition
newpivot 5505,44,string|5505,368,string|5505,399,string|5505,432,string|5884,44,string|5884,368,string|5884,399,string|5884,432,string|5903,44,string|5903,368,string|5903,399,string|5903,432,string|6382,44,string|6382,368,string|6382,399,string|6382,432,string|7048,44,string|7048,368,string|7048,399,string|7048,432,string|7075,44,string|7075,368,string|7075,399,string|7075,432,string
newposit 6305,4367,iostream|6305,4499,iostream|6305,4589,iostream|6305,5186,iostream|6305,5318,iostream|6305,5408,iostream
news 5878,0,h2|6363,0,h2|6756,0,div|7587,4,a|7587,7,h3|7588,0,a|7588,9,strong|7588,0,a|7589,0,a|7589,0,a|7590,0,a|7590,0,a|7591,0,a|7591,0,a|7592,0,a|7592,0,a|7593,0,a|7593,0,a|7594,0,a|7594,0,a|7595,0,a|7595,0,a|7596,0,a|7596,0,a|7597,0,a|7597,0,a|7598,0,a|7598,0,a|7599,0,a|7599,0,a|7600,0,a|7600,0,a|7601,0,title|7601,0,a|7601,0,h1|7601,4,h3|7601,4,em|7601,14,h3|7601,0,a|7602,0,a|7602,0,a|7603,0,a|7603,0,a
newsizeofgroup 6305,8345,iostream|6305,8456,iostream|6305,8658,iostream|6305,9234,iostream|6305,9344,iostream|6305,9546,iostream
newsizeofposit 6305,4302,iostream|6305,4402,iostream|6305,4630,iostream|6305,5120,iostream|6305,5221,iostream|6305,5449,iostream
newsizeofstringid 6305,934,iostream|6305,1020,iostream|6305,1248,iostream
newstr 6184,320,string|6184,517,string|6184,609,string|6184,666,string|6184,847,string|6184,929,string|6184,1069,string|6184,1201,string|6592,320,string|6592,517,string|6592,609,string|6592,666,string|6592,847,string|6592,929,string|6592,1069,string|6592,1201,string|6728,320,string|6728,517,string|6728,609,string|6728,666,string|6728,847,string|6728,929,string|6728,1069,string|6728,1201,string|7490,320,string|7490,517,string|7490,609,string|7490,666,string|7490,847,string|7490,929,string|7490,1069,string|7490,1201,string
newstrattrib 6054,310,string|6054,600,string|6054,769,string|6054,832,string
newstringid 6305,992,iostream|6305,1117,iostream|6305,1207,iostream
newvect 5882,5,simvect|5882,151,simvect|5882,522,simvect|5882,647,simvect|5882,734,simvect|5882,751,simvect|6721,5,simvect|6721,151,simvect|6721,522,simvect|6721,647,simvect|6721,734,simvect|6721,751,simvect|6760,5,simvect|6760,151,simvect|6760,522,simvect|6760,647,simvect|6760,734,simvect|6760,751,simvect|7200,5,simvect|7200,151,simvect|7200,522,simvect|7200,647,simvect|7200,734,simvect|7200,751,simvect
newweight 5691,2,unsigned|5691,145,sizeofinvertedlists;i++)|5691,301,sizeofinvertedlists;i++)|5691,2,unsigned|5691,215,unsigned|5691,256,unsigned|5691,301,unsigned|6247,2,unsigned|6247,145,sizeofinvertedlists;i++)|6247,301,sizeofinvertedlists;i++)|6247,2,unsigned|6247,215,unsigned|6247,256,unsigned|6247,301,unsigned
