ja 17741,0,p|19342,1,li
jsac 19326,18,b
jsbryan 19435,1,h3
json 17163,291,p|18673,1433,p
jsp 17055,140,p|17133,49,a|17133,34,a|18346,33,a|19108,76,pre
jstamp 18634,11,a
jstor 19402,229,p|19410,1047,p|19415,229,p|19416,229,p|19426,229,div|19438,1047,p
jsur 19036,7,pre|19036,58,pre|19036,109,pre|19036,161,pre|19036,214,pre|19036,267,pre|19036,320,pre|19036,374,pre|19036,428,pre|19036,7,pre|19036,58,pre|19036,109,pre|19036,160,pre|19036,212,pre|19036,264,pre|19036,316,pre|19036,369,pre|19036,422,pre|19036,475,pre|19036,529,pre
jsut 17827,176,p
jsvn 19142,92,li
jt 17070,0,a
jtanenbaum 19712,30,a|19713,0,author_name|19715,30,a|19719,0,author_name|19720,0,author_name|19722,0,author_name|19729,0,author_name
jtda 19009,2,p
ju 17765,130,p
jual 19009,0,h5
juan 18626,8,p
juarez 17193,147,p|17843,147,p|18041,147,p
jubile 17110,12,a|17255,12,a|17255,43,p|17380,12,a|17380,43,p|17698,12,a|17698,43,p|17947,12,title|17947,21,h1|17947,43,p|17947,12,span|17947,32,a|18501,13,a
juc 18652,223,p
judg 17029,60,p|17106,320,p|17144,147,p|17170,1,div|17329,547,p|17429,49,p|17622,54,p|17659,101,p|17865,0,p|18188,573,p|18378,238,p|18379,669,p|18466,249,p|18545,97,p|19254,646,p|19422,59,p
judgement 17796,332,p|17955,79,p|19578,1155,div
judgment 18530,268,p|19433,94,p|19494,75,div|19494,808,div
judici 16917,180,p|19228,1263,p|19689,80,div
judiciari 18070,100,p
judith 18967,49,li
jugaad 18028,311,p
juggl 17107,23,p
juguet 19009,14,h5
juhi 17224,70,p|17224,381,p|17224,570,p|17224,9,a
juhu 17574,33,p
jui 19349,36,title|19349,36,h1|19352,36,title|19352,36,h1|19357,36,title|19357,36,h1|19358,1,a|19361,36,title|19361,36,h1|19369,36,title|19369,36,h1
jul 16973,160,p|17426,160,p|17565,160,p|18372,0,p|18372,0,p|18372,0,p|18434,160,p|18687,0,p|18688,0,p|18688,0,p|18688,0,p|18720,0,p|18725,0,p|18779,0,p|18793,0,p|18814,0,p|18821,0,p|18823,0,p|18834,0,p|18847,0,p|18848,0,p|18848,0,p|18848,0,p|18848,0,p|18852,0,p|18860,0,p|18864,0,p|18864,0,p|18870,0,p|19038,102,pre|19038,137,pre|19038,247,pre|19038,189,pre|19038,255,pre|19301,2,span|19317,88,i
juli 16885,0,a|16886,0,a|16889,0,time|16906,0,a|16906,0,a|16906,0,a|16906,0,a|16909,36,p|16909,0,a|16912,0,a|16918,0,a|16919,0,a|16919,0,a|16919,0,a|16919,0,a|16919,0,a|16920,8,p|16925,0,a|16925,0,a|16925,0,a|16925,0,a|16925,0,a|16928,0,a|16942,0,a|16949,0,a|16949,0,a|16962,0,a|16962,0,a|16962,0,a|16962,0,a|16962,0,a|16963,0,a|16964,0,a|16983,20,p|16983,2,p|16983,1,p|16987,0,a|16997,0,a|16997,0,a|16997,0,a|16997,0,a|16997,0,a|17002,0,title|17002,9,h1|17002,9,p|17002,43,p|17002,0,a|17005,0,a|17005,0,a|17005,0,a|17008,30,p|17013,0,a|17014,0,a|17014,0,time|17014,0,time|17032,0,a|17054,0,a|17054,0,time|17054,0,time|17058,0,a|17061,0,time|17070,0,a|17070,0,time|17080,0,a|17086,0,a|17086,0,a|17086,0,a|17086,9,p|17086,0,a|17086,0,a|17086,0,a|17103,7,p|17103,0,a|17106,0,time|17106,0,time|17111,0,a|17112,0,a|17112,1,a|17112,0,time|17118,0,a|17118,0,a|17118,0,a|17118,0,a|17121,0,time|17126,0,a|17126,0,a|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17134,0,a|17136,0,a|17136,0,a|17136,0,a|17144,0,a|17144,0,time|17146,0,a|17146,0,a|17146,0,a|17163,0,a|17167,0,a|17168,0,a|17178,0,a|17182,0,a|17182,60,p|17199,0,a|17201,0,a|17204,0,a|17208,0,a|17208,0,a|17216,0,a|17216,0,a|17216,0,a|17216,0,a|17216,0,a|17221,0,a|17221,0,a|17221,0,a|17221,0,a|17221,0,a|17227,0,a|17232,0,a|17244,0,time|17245,0,a|17247,0,a|17249,37,p|17249,40,p|17256,0,time|17262,0,a|17262,0,time|17262,0,time|17262,0,time|17265,0,a|17272,0,a|17272,0,a|17275,0,a|17275,0,a|17278,0,time|17282,0,a|17290,11,p|17290,0,a|17290,0,time|17291,12,p|17291,0,a|17302,0,a|17307,0,time|17311,0,a|17311,0,a|17311,9,p|17311,0,a|17314,0,a|17320,0,time|17320,0,time|17326,0,time|17336,0,a|17339,139,p|17347,0,a|17347,0,a|17351,0,a|17351,0,a|17351,0,a|17351,0,a|17351,0,a|17366,0,a|17377,0,time|17379,0,a|17386,0,a|17386,0,a|17386,0,a|17386,0,a|17394,60,p|17398,0,a|17404,0,a|17404,0,a|17404,0,a|17404,9,p|17404,0,a|17404,0,a|17404,0,a|17405,0,a|17405,0,a|17405,0,a|17405,0,a|17405,0,a|17416,0,a|17416,0,a|17417,0,a|17424,0,a|17430,0,a|17446,25,em|17449,0,a|17451,0,a|17453,0,time|17475,46,a|17476,0,a|17509,0,a|17510,47,p|17510,0,a|17512,0,a|17512,0,a|17512,0,a|17512,0,a|17512,0,a|17515,0,a|17516,0,a|17518,0,a|17522,0,a|17525,0,a|17528,0,time|17530,0,a|17531,0,a|17533,0,a|17540,0,a|17549,0,time|17549,0,time|17549,0,time|17556,0,a|17563,0,a|17571,0,a|17573,0,a|17573,0,a|17581,0,a|17582,0,time|17589,48,p|17589,8,p|17596,0,time|17604,0,a|17608,0,time|17612,0,a|17614,51,td|17616,139,p|17618,0,a|17618,0,a|17618,0,a|17618,0,a|17618,0,a|17632,0,a|17632,0,a|17632,0,a|17641,0,a|17643,153,p|17643,0,a|17643,0,a|17643,0,a|17643,0,a|17661,0,time|17663,0,a|17667,0,a|17667,0,a|17676,0,a|17676,0,a|17676,36,p|17676,0,a|17676,0,a|17676,0,a|17688,0,a|17693,0,a|17693,0,a|17693,0,a|17693,0,a|17693,0,a|17697,0,a|17706,0,a|17709,174,p|17709,146,p|17709,60,p|17709,154,p|17709,148,p|17709,174,p|17709,119,p|17709,39,p|17709,23,p|17709,20,p|17709,38,p|17714,0,cite|17725,0,a|17725,0,a|17730,0,time|17731,0,a|17731,0,a|17731,0,a|17731,0,a|17741,0,time|17742,0,a|17752,0,a|17752,0,a|17756,0,a|17758,91,p|17758,0,a|17783,0,a|17783,0,a|17783,0,a|17783,0,a|17799,0,a|17799,0,a|17799,0,a|17799,0,a|17799,0,a|17812,0,a|17812,0,a|17812,0,time|17812,0,time|17812,0,time|17812,0,time|17823,0,a|17823,0,a|17823,0,a|17826,153,p|17826,0,a|17826,0,a|17830,0,a|17830,0,a|17830,0,a|17832,0,a|17835,0,time|17860,0,a|17860,0,a|17860,0,a|17863,0,a|17863,0,a|17863,0,a|17864,60,p|17874,96,li|17877,0,a|17878,0,a|17885,0,a|17886,0,time|17902,0,a|17924,0,a|17944,48,p|17965,139,p|17967,0,time|17979,0,time|17982,0,a|17997,0,a|17997,0,a|17997,0,a|17997,0,a|17997,0,a|18001,0,a|18004,0,a|18017,0,time|18017,0,time|18018,0,a|18018,0,time|18018,0,time|18018,0,time|18019,0,a|18023,0,a|18023,0,a|18023,0,a|18023,0,a|18036,0,time|18036,0,time|18037,0,a|18037,0,a|18037,0,a|18037,0,a|18039,0,a|18043,0,a|18044,0,a|18053,0,a|18053,0,a|18053,0,a|18053,0,a|18053,0,a|18061,0,a|18074,0,a|18074,0,a|18093,11,p|18095,0,time|18095,0,time|18102,0,a|18108,12,p|18108,728,p|18108,0,a|18108,0,time|18108,0,time|18108,0,time|18108,0,time|18108,0,time|18108,0,time|18108,0,time|18115,0,time|18119,5,p|18127,0,a|18127,0,a|18127,0,a|18127,0,a|18127,0,a|18141,0,a|18157,0,a|18157,0,a|18157,0,a|18163,0,a|18165,119,p|18165,82,p|18165,132,p|18179,0,a|18180,0,a|18196,0,a|18205,0,time|18206,0,a|18206,0,time|18206,0,time|18210,0,a|18210,0,a|18221,0,a|18221,0,a|18233,0,a|18238,0,a|18244,48,p|18244,8,p|18245,0,time|18253,0,a|18253,0,time|18253,0,time|18253,0,time|18253,0,time|18254,45,li|18256,0,a|18262,0,time|18265,0,time|18287,0,a|18290,0,a|18310,0,a|18310,0,a|18310,0,a|18310,46,p|18310,0,a|18310,0,a|18319,0,a|18319,0,a|18319,0,a|18319,0,a|18319,0,a|18331,0,a|18331,0,a|18334,0,a|18339,0,a|18339,0,a|18339,0,a|18339,0,a|18339,0,a|18341,0,a|18354,0,a|18363,0,a|18363,0,a|18363,0,a|18363,0,a|18363,0,a|18372,0,time|18373,0,a|18377,0,a|18381,0,a|18384,0,a|18384,0,a|18384,0,a|18386,0,a|18386,0,a|18386,0,a|18386,46,p|18386,0,a|18386,0,a|18387,48,p|18387,8,p|18389,0,a|18392,0,a|18403,0,time|18409,0,a|18411,119,p|18411,82,p|18411,132,p|18420,0,a|18421,0,a|18421,0,a|18421,0,a|18422,0,a|18422,0,a|18422,0,a|18423,0,time|18423,0,time|18424,0,a|18440,30,p|18443,0,time|18450,0,a|18450,0,a|18450,0,a|18450,0,a|18450,0,a|18456,154,p|18456,207,p|18456,255,p|18456,0,a|18471,0,a|18483,0,a|18483,0,a|18511,0,time|18511,0,time|18511,0,time|18513,0,a|18517,0,a|18517,0,a|18517,0,a|18517,0,a|18517,0,a|18521,119,p|18521,82,p|18521,132,p|18525,0,a|18525,0,a|18525,0,a|18525,0,a|18525,0,a|18547,0,a|18551,0,a|18551,0,a|18553,0,a|18553,0,a|18553,12,p|18553,0,a|18553,0,a|18553,0,a|18557,0,a|18557,0,time|18559,153,p|18559,0,a|18559,0,a|18565,0,a|18565,0,a|18573,0,a|18573,0,a|18575,0,a|18575,0,a|18575,36,p|18575,0,a|18575,0,a|18575,0,a|18594,0,a|18594,0,a|18606,0,a|18615,0,a|18625,0,time|18629,103,p|18630,21,p|18630,16,p|18630,17,p|18631,103,p|18651,22,li|18651,36,li|18651,24,li|18651,22,li|18652,129,p|18652,49,p|18652,95,p|18652,85,p|18652,72,p|18652,72,p|18652,81,p|18652,121,p|18652,89,p|18652,89,p|18652,132,p|18652,133,p|18652,121,p|18652,113,p|18690,0,small|18691,0,small|18695,0,small|18695,0,small|18724,4,div|18724,4,div|18727,0,small|18727,0,small|18727,0,small|18727,0,small|18727,0,small|18749,4,div|18759,4,div|18759,4,div|18759,4,div|18759,4,div|18785,4,div|18815,4,div|18830,4,div|18830,4,div|18861,4,div|18880,53,li|18880,53,li|18880,71,li|18883,0,small|18883,0,small|18915,88,i|18925,88,i|18925,79,i|18925,100,i|18925,109,i|18933,173,i|18942,16,li|18942,8,li|18943,17,li|18943,9,li|18944,15,div|18966,8,li|18966,15,div|18981,8,li|18981,8,li|18987,15,div|18994,15,div|19002,6,li|19003,15,div|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19043,15,div|19047,15,div|19058,15,div|19060,15,div|19074,15,div|19078,15,div|19080,15,div|19084,15,div|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19120,8,li|19120,15,div|19129,276,p|19129,739,p|19129,1177,p|19129,15,div|19140,15,div|19144,105,p|19144,180,p|19144,130,p|19171,15,div|19185,15,div|19187,8,li|19187,8,li|19187,8,li|19187,15,div|19188,15,div|19191,15,div|19195,15,div|19210,15,div|19218,15,div|19227,15,div|19228,33,td|19228,15,div|19236,15,div|19255,15,div|19264,15,div|19271,15,div|19273,0,h5|19274,0,h5|19291,34,span|19301,2,span|19305,61,li|19309,0,h5|19317,65,i|19320,1440,pre|19334,50,p|19334,47,p|19334,49,p|19334,46,p|19375,29,li|19381,60,h3|19388,57,title|19388,57,h1|19388,10,p|19418,0,a|19418,0,li|19427,245,p|19716,74,p|19717,74,p|19721,74,p|19723,74,p|19724,74,p|19725,74,p|19733,74,p|19966,169,p|19966,11,p|20233,11,p|20258,91,p
julia 18355,0,a|19582,83,td|19610,83,td|20134,37,li|20134,10,li|20134,124,li
julian 17454,0,a|17454,0,a|19002,0,li|19178,7,a|19239,7,a|19514,0,a|19544,0,a|19544,1,div|19544,24,div|19559,0,a|19559,1,div|19559,24,div|19560,0,a|19580,0,a|19580,1,div|19580,24,div|19582,0,td|19582,0,td|19604,0,a|19604,1,div|19604,24,div|19609,0,a|19609,0,a|19609,0,a|19609,0,a|19609,0,a|19610,0,td|19610,0,td|19611,0,a|19611,0,a|19612,0,a|19621,0,a|19621,1,div|19621,24,div|19633,0,a|19633,51,div|19633,82,div|19640,0,a|19640,1,div|19640,24,div|19646,0,h2|19646,0,a|19646,0,a|19646,0,a|19646,0,a|19646,0,a|19646,0,a|19646,0,a|19647,0,td|19672,0,a|19672,0,a|19672,0,a|19672,0,a|19672,0,a|19672,0,a|19672,0,a|19682,0,a|19685,0,a|19685,0,a|19685,0,a|19685,0,a|19685,0,a|19685,0,a|19685,0,a|20134,111,li
juliana 19739,110,p|19886,110,span|19886,538,span
julien 18674,0,li
juliet 18626,42,p|18626,105,p|19412,0,title|19412,0,span|19412,0,p|19434,0,a
julietnpn 18626,19,a|18626,19,a|18626,19,a|18626,19,a
juliu 16938,174,p|17301,174,p|17331,174,p|18120,175,p
jumbotron 18667,13,div|18668,13,div|18669,13,div|18671,13,div|18673,13,div|18674,13,div
jump 16900,104,p|17068,222,p|17131,598,p|17222,104,p|17295,22,p|17378,106,p|17706,157,p|17755,104,p|17898,103,p|17976,346,p|18357,307,p|18403,227,p|18590,495,p|18590,565,p|18669,0,li|18900,0,b|18901,0,b|18972,0,td|19009,0,h5|19223,136,p|19226,47,p|19257,66,p|19257,75,p|19278,107,div|19320,123,pre|19439,0,a|19440,0,a|19441,0,a|19442,0,a|19443,0,a|19444,0,a|19445,0,a|19446,0,a|19447,0,a|19448,0,a|19449,0,a|19450,0,a|19451,0,a|19452,0,a|19453,0,a|19454,0,a|19455,0,a|19456,0,a|19457,0,a|19458,0,a|19459,0,a|19460,0,a|19461,0,a|19462,0,a|19463,0,a|19464,0,a|19465,0,a|19466,0,a|19467,0,a|19468,0,a|19469,0,a|19470,0,a|19471,0,a|19472,0,a|19473,0,a|19474,0,a|19475,0,a|19476,0,a|19477,0,a|19478,0,a|19479,0,a|19480,0,a|19481,0,a|19482,0,a|19513,626,div|20278,618,span
jun 16973,220,p|17426,220,p|17475,58,li|17565,220,p|17984,179,p|18303,179,p|18372,4,p|18434,220,p|18688,0,p|18692,0,p|18693,0,p|18710,0,p|18725,0,p|18725,0,p|18725,0,p|18735,0,p|18742,0,p|18744,0,p|18752,0,p|18760,0,p|18760,0,p|18760,0,p|18760,0,p|18760,0,p|18765,0,p|18781,0,p|18786,0,p|18796,0,p|18818,0,p|18829,0,p|18846,0,p|18848,0,p|18848,0,p|18848,0,p|18853,0,p|18864,0,p|18902,6,li|18910,9,a|18917,7,li|18925,5,li|18925,26,li|18925,6,li|18927,27,li|19038,187,pre|19317,60,i
junction 17056,206,p|17875,206,p|18351,91,p|18463,206,p|18638,32,a|18673,1082,p|18961,26,li|19002,0,li|19050,5,li|19073,5,li|19082,5,li|19119,2,li|19167,38,dd|19504,722,div|19508,38,div|19508,23,div|19508,116,div|19508,237,div|19508,292,div|19508,336,div|19508,521,div|19508,573,div|19508,656,div|19508,1061,div|19508,1211,div|19508,1241,div|19508,111,div|19508,52,div|19609,38,a|19672,38,a|19685,38,a|19687,189,div|19694,477,p|19700,625,div
june 16889,0,a|16889,0,time|16891,0,time|16904,0,time|16904,0,time|16906,51,p|16906,0,a|16908,0,time|16918,0,a|16918,0,a|16918,0,a|16926,0,time|16943,0,a|16947,0,a|16947,0,time|16947,0,time|16950,0,time|16957,0,a|16957,0,time|16957,0,time|16971,0,a|16978,0,a|16982,0,a|16982,0,a|16982,0,a|16982,0,a|16982,0,a|16992,0,a|16992,0,a|16992,0,a|16992,0,a|16992,0,a|17005,0,a|17005,0,a|17007,0,a|17007,0,a|17007,0,a|17007,0,a|17007,0,a|17008,0,a|17008,0,a|17008,0,a|17008,0,a|17008,0,a|17015,0,a|17019,0,time|17029,0,a|17029,0,time|17029,0,time|17029,0,time|17063,351,p|17066,0,a|17066,0,a|17066,0,a|17066,0,a|17066,0,a|17080,0,a|17098,0,a|17098,0,a|17105,0,a|17121,0,a|17125,0,a|17125,0,time|17125,0,time|17126,0,a|17126,0,a|17126,0,a|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17131,0,time|17137,0,a|17137,0,a|17137,0,a|17137,0,a|17137,0,a|17139,0,a|17139,0,a|17139,0,a|17139,0,a|17139,0,a|17148,0,a|17150,177,p|17152,0,a|17153,0,a|17153,0,a|17153,0,a|17153,0,a|17153,0,a|17158,0,a|17160,0,a|17189,0,time|17198,0,a|17204,0,a|17208,78,p|17208,0,a|17208,0,a|17208,0,a|17215,0,a|17215,0,time|17228,0,time|17233,0,a|17237,0,time|17241,0,a|17244,0,a|17245,0,a|17245,0,a|17245,0,a|17245,0,a|17254,0,a|17254,0,a|17254,0,a|17254,0,a|17254,0,a|17256,0,a|17272,78,p|17272,0,a|17272,0,a|17272,0,a|17277,0,a|17277,0,a|17277,0,a|17277,0,a|17277,0,a|17279,0,a|17280,0,a|17280,0,a|17280,0,a|17280,0,a|17280,0,a|17283,0,time|17290,116,p|17291,0,a|17291,0,a|17311,0,a|17311,0,a|17311,0,a|17314,0,a|17319,0,a|17319,0,time|17320,0,time|17329,0,time|17332,0,a|17332,0,a|17339,0,a|17339,0,a|17339,0,a|17339,0,a|17339,0,a|17353,0,a|17355,0,time|17355,0,time|17357,0,a|17357,0,time|17357,0,time|17357,0,time|17374,0,a|17374,0,a|17386,0,a|17390,0,a|17390,0,a|17390,0,a|17390,0,a|17390,0,a|17399,0,a|17423,0,a|17423,0,a|17423,0,a|17428,0,a|17428,114,p|17428,0,a|17428,0,a|17428,0,a|17428,0,a|17437,18,p|17448,0,a|17448,0,a|17448,0,a|17448,0,a|17448,0,a|17458,0,a|17472,0,a|17478,0,a|17478,0,a|17478,0,a|17478,0,a|17478,0,a|17483,0,a|17483,0,time|17485,0,time|17506,0,a|17509,0,a|17522,0,a|17522,0,a|17522,114,p|17522,0,a|17526,114,p|17526,0,a|17528,0,a|17540,0,a|17547,177,p|17549,0,time|17578,0,a|17580,0,a|17580,0,time|17584,0,a|17584,0,time|17608,0,a|17608,0,time|17608,0,time|17608,0,time|17608,0,time|17614,38,td|17614,206,td|17616,0,a|17616,0,a|17616,0,a|17616,0,a|17616,0,a|17621,0,a|17621,0,a|17621,0,a|17632,0,a|17632,0,a|17639,0,a|17639,0,a|17639,0,a|17639,0,a|17639,0,a|17647,0,a|17647,0,a|17647,0,a|17647,0,a|17647,0,a|17651,0,time|17658,0,a|17659,0,a|17689,0,a|17689,0,a|17702,0,a|17702,0,time|17709,110,p|17709,159,p|17709,136,p|17709,111,p|17709,131,p|17709,89,p|17709,159,p|17709,164,p|17709,140,p|17709,62,p|17709,189,p|17709,89,p|17709,147,p|17709,160,p|17709,139,p|17709,180,p|17709,215,p|17709,179,p|17709,206,p|17709,143,p|17709,150,p|17709,170,p|17709,252,p|17709,29,p|17709,29,p|17709,29,p|17710,0,time|17710,0,time|17730,0,a|17743,0,a|17752,0,a|17752,0,a|17752,0,a|17779,0,a|17780,0,time|17782,0,time|17783,0,a|17786,0,a|17786,0,a|17786,0,a|17786,0,a|17793,0,time|17796,0,a|17796,0,time|17797,0,a|17797,0,a|17797,0,a|17797,0,a|17797,0,a|17804,0,a|17804,0,a|17816,0,a|17816,0,a|17824,0,a|17824,0,a|17824,0,a|17824,0,a|17824,0,a|17825,0,a|17825,0,a|17825,0,a|17825,0,a|17825,0,a|17832,0,a|17832,0,a|17832,0,a|17832,0,a|17834,0,a|17835,0,a|17835,0,time|17838,0,a|17838,0,a|17838,0,a|17838,0,a|17838,0,a|17842,0,a|17850,46,p|17859,0,time|17859,0,time|17859,0,time|17863,0,a|17872,51,p|17872,0,a|17872,0,a|17872,0,a|17872,0,a|17872,0,a|17900,0,a|17900,0,a|17900,0,a|17900,0,a|17900,0,a|17901,0,time|17904,0,a|17904,0,a|17904,0,a|17904,0,a|17904,0,a|17905,0,a|17905,0,a|17905,0,a|17920,0,a|17920,0,a|17935,0,a|17964,0,time|17965,0,a|17965,0,a|17965,0,a|17965,0,a|17965,0,a|17967,0,a|17970,0,a|17978,177,p|17993,0,a|17993,0,time|18006,0,a|18006,0,time|18006,0,time|18014,0,a|18014,0,a|18017,0,a|18033,0,a|18036,0,a|18036,0,time|18037,78,p|18037,0,a|18044,0,a|18056,191,p|18056,0,a|18057,0,a|18057,0,a|18057,0,a|18057,0,a|18057,0,a|18064,0,a|18065,0,time|18074,0,a|18074,0,a|18077,0,a|18094,0,a|18095,0,time|18095,0,time|18108,0,time|18111,0,a|18111,0,a|18111,0,a|18111,0,a|18111,0,a|18119,24,p|18119,50,p|18124,512,p|18175,0,a|18179,0,a|18179,0,a|18179,0,a|18186,0,a|18186,0,a|18186,0,a|18186,0,a|18186,0,a|18197,0,time|18198,0,a|18198,0,a|18198,0,a|18198,0,a|18198,0,a|18205,0,a|18216,0,a|18222,0,time|18229,0,a|18229,0,time|18229,0,time|18231,0,a|18238,0,a|18238,0,a|18240,0,a|18245,0,time|18247,0,a|18252,0,a|18252,0,time|18252,0,time|18252,0,time|18260,0,a|18260,0,a|18261,0,a|18268,51,p|18268,0,a|18268,0,a|18268,0,a|18268,0,a|18268,0,a|18286,0,a|18298,0,a|18305,0,a|18305,0,time|18314,0,a|18316,0,a|18331,0,a|18331,0,a|18338,0,a|18338,0,time|18342,0,a|18342,114,p|18342,0,a|18342,0,a|18342,0,a|18342,0,a|18343,0,a|18372,0,time|18388,0,time|18422,0,a|18422,0,a|18437,0,a|18437,0,a|18437,0,a|18437,0,a|18437,0,a|18440,0,a|18440,0,a|18440,0,a|18440,0,a|18440,0,a|18443,0,a|18443,0,time|18446,0,a|18455,0,a|18455,0,time|18455,0,time|18459,0,a|18459,0,a|18459,0,a|18463,0,a|18463,0,a|18479,0,a|18479,0,a|18486,0,time|18486,0,time|18486,0,time|18494,0,a|18506,0,time|18511,0,a|18511,0,time|18511,0,time|18514,0,a|18526,0,a|18528,0,a|18528,0,a|18529,0,a|18535,51,p|18535,17,p|18535,0,a|18543,0,time|18558,0,a|18558,0,a|18558,0,a|18573,0,a|18573,0,a|18573,0,a|18577,0,a|18582,0,a|18597,179,p|18603,0,a|18603,0,a|18603,0,a|18603,0,a|18603,0,a|18614,0,a|18614,0,a|18615,0,a|18615,0,a|18615,0,a|18615,0,a|18617,0,a|18625,0,time|18630,27,p|18630,27,p|18630,16,p|18630,16,p|18630,22,p|18630,17,p|18630,23,p|18630,26,p|18630,1,p|18651,30,li|18652,51,p|18652,57,p|18652,61,p|18652,30,p|18652,217,p|18652,135,p|18652,145,p|18652,216,p|18652,216,p|18652,94,p|18652,147,p|18652,206,p|18652,103,p|18652,103,p|18652,103,p|18652,163,p|18652,91,p|18653,112,p|18653,179,p|18660,36,h2|18661,36,h2|18667,10,div|18682,4,div|18682,4,div|18682,4,div|18682,4,div|18689,4,div|18689,4,div|18690,0,small|18690,0,small|18690,0,small|18698,0,small|18713,4,div|18732,4,div|18736,0,small|18736,0,small|18745,0,small|18749,4,div|18759,4,div|18759,4,div|18767,0,small|18767,0,small|18767,0,small|18785,4,div|18785,4,div|18815,4,div|18830,4,div|18830,4,div|18849,13,span|18856,0,small|18878,13,span|18880,93,li|18883,0,small|18883,0,small|18883,0,small|18908,112,i|18925,83,i|18925,67,i|18925,112,i|18925,72,i|18925,124,i|18925,98,i|18925,95,i|18925,91,i|18925,126,i|18925,126,i|18925,103,i|18925,86,i|18925,86,i|18925,108,i|18942,8,li|18942,8,li|18942,8,li|18942,2,li|18942,8,li|18943,9,li|18943,9,li|18943,9,li|18943,2,li|18943,9,li|18969,8,li|18977,15,div|18986,32,div|18986,15,div|18991,15,div|19005,15,div|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19009,3,span|19017,15,div|19035,15,div|19044,15,div|19086,15,div|19102,15,div|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19110,8,li|19112,15,div|19121,15,div|19124,8,li|19124,8,li|19124,8,li|19129,437,p|19129,609,p|19129,278,p|19135,8,li|19135,8,li|19135,15,div|19143,15,div|19144,130,p|19144,141,p|19144,141,p|19145,15,div|19148,15,div|19181,15,div|19187,8,li|19208,15,div|19211,15,div|19213,15,div|19228,32,td|19256,15,div|19267,8,li|19273,0,h5|19274,0,h5|19301,2,span|19308,2,span|19320,904,pre|19334,24,p|19334,49,p|19381,69,h3|19402,9,p|19418,0,li|19418,0,li|19418,0,li|19418,0,li|19420,51,p|19427,38,p|19427,58,p|19427,56,p|19433,0,strong|19433,0,strong|19436,0,td|19436,0,td|19793,11,p|19910,11,p|19964,63,div|19964,62,span|19964,62,span|19966,11,p|19982,11,p|20088,11,p|20120,11,p|20218,11,p|20232,11,p|20251,63,div|20251,62,span|20251,62,span|20279,11,p
juneau 17103,18,p
