jaafar 1167,0,p|1167,0,p
junction 46,153,p|254,132,p|254,132,p|259,65,title|259,65,h1|443,59,title|443,26,b|443,17,p|443,7,p|443,385,br|443,718,br|443,1084,br|443,1431,br|443,1651,br|443,1734,br|443,2066,br|443,2429,br|443,2900,br|443,3235,br|443,3572,br|443,3969,br|443,4323,br|443,4649,br|443,4959,br|443,5303,br|443,5641,br|443,5995,br|443,6380,br|443,6677,br|443,7015,br|443,7335,br|443,7672,br|443,8055,br|443,8404,br|443,8825,br|443,9279,br|443,9609,br|443,9950,br|443,10373,br|443,10857,br|443,40,a|476,83,p|505,132,p|505,132,p|511,17,p|511,17,p|535,8,a|634,139,p|661,59,title|661,26,b|661,17,p|661,7,p|661,385,br|661,718,br|661,1084,br|661,1431,br|661,1651,br|661,1734,br|661,2066,br|661,2429,br|661,2900,br|661,3235,br|661,3572,br|661,3969,br|661,4323,br|661,4649,br|661,4959,br|661,5303,br|661,5641,br|661,5995,br|661,6380,br|661,6677,br|661,7015,br|661,7335,br|661,7672,br|661,8055,br|661,8404,br|661,8825,br|661,9279,br|661,9609,br|661,9950,br|661,10373,br|661,10857,br|661,40,a|705,61,p|730,59,title|730,26,b|730,36,a|730,1,p|730,40,a|730,1,p|730,7,b|730,1,p|730,1,p|730,1,p|730,1,p|730,1,p|730,1,p|730,36,a|1155,132,p|1155,132,p|1165,146,p|1233,91,p|1233,51,p|1246,83,p|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,6,th|1307,10,span
june 28,220,p|110,254,p|113,11747,br|113,19,p|122,46,p|122,43,p|127,11428,br|127,19,p|147,171,p|162,24,p|186,196,p|206,73,p|230,193,p|264,105,p|265,11428,br|265,19,p|291,24,p|319,197,p|424,223,p|424,224,p|440,170,p|456,45,p|465,206,p|476,19,i|477,24,p|517,258,p|543,52,p|561,24,p|664,132,p|664,78,p|837,203,p|1030,24,p|1040,288,p|1045,24,p|1048,172,p|1048,182,p|1159,167,p|1159,147,p|1159,167,p|1246,19,i|1249,189,p|1281,223,p|1281,224,p|1282,10080,br|1282,19,p|1293,29,li|1298,99,li|1299,116,p|1299,81,p|1299,45,p|1299,110,p|1299,53,p|1299,35,p
junk 741,8,p
jupit 215,4,p|455,56,title|455,56,h1|995,56,title|995,56,h1|995,1,a|995,1,a|995,4,a|1112,1,a
jurofm 169,7,p
jussi 132,20,i|257,4123,br|257,8238,br|257,20,p|257,20,p|391,163,br|391,20,p|419,20,i|419,20,i|498,7924,br|498,12321,br|498,20,p|498,20,p|530,20,i|629,2739,br|629,20,p|634,20,i|834,20,i|834,20,i|1243,2936,br|1243,20,p
just 22,0,p|22,176,p|23,81,p|42,18,p|137,54,p|147,2498,p|254,54,p|357,280,p|386,193,p|505,54,p|550,138,p|582,5,u|705,31,p|705,186,p|719,86,p|737,169,p|823,29,p|829,30,p|834,21,p|834,45,p|879,10,p|1111,0,p|1142,82,p|1155,54,p|1233,46,p|1277,9,p|1277,77,p
justic 320,21,p|320,40,p|320,21,p|1059,21,p|1059,40,p|1059,21,p
justif 225,13,p
justifi 730,235,p|834,42,p|1277,141,p
justin 32,0,i|162,3094,br|162,0,p|264,0,p|264,0,p|305,3112,br|305,0,p|351,4264,br|351,0,p|387,0,i|480,4264,br|480,0,p|678,5322,br|678,0,p|809,0,i|818,0,i|1045,3094,br|1045,0,p|1079,8766,br|1079,0,p|1080,3112,br|1080,0,p|1111,0,i
jutland 664,56,title|664,23,b|664,91,p
jwj 954,0,u
