10000kb 19789,7389|19789,7468
1px 19572,8710|19649,2088|19649,3682|19726,8088|19825,2812|19825,5045|19856,7877|19856,9187|19856,9200|19856,10992|19856,11079|19856,11099|19856,13691|19856,13699|19899,1110|19899,1208|19899,1494|19899,1959|19899,2014|19899,2071|19899,2312|19899,2432|19899,2919|19899,3183|19899,3564|19899,3929|19899,4098|19899,4548|19899,4600|19899,4857|19899,5361|19899,5857|19899,6045|19899,7093|19899,7404|19899,7540|19899,7604|19899,7787|19899,7953|19899,8019|19899,9412|19899,9604|19899,10754|19899,10764|19899,12642|19899,12827|19899,12844|19899,14969|19899,14977|19899,16580
1r1 16946,16860364|16946,16860473|16946,16860589|16946,16860712
1rc0 16946,55301731|16946,55301833|16946,55301942|16946,55302058|16946,55376098|16946,55376213|16946,55376335|16946,55405689|16946,55405806|16946,55405930|16946,55646061|16946,55646169|16946,55646284|16946,55657855|16946,55657965|16946,55658082|16946,55671496|16946,55671605|16946,55671721|16946,55748752|16946,55748856|16946,55748967|16946,55749085|16946,55822368|16946,55822478|16946,55822595|16946,55834151|16946,55834259|16946,55834374|16946,55902558|16946,55902657|16946,55902763|16946,55902876|16946,56084572|16946,56084680|16946,56084795|16946,56084917|16946,56198227|16946,56198327|16946,56198434|16946,56198548|16946,56229299|16946,56229405|16946,56229518|16946,56229638|16946,74617611|16946,74617714|16946,74617824|16946,74626898|16946,74627003|16946,74627115|16946,74638650|16946,74638746|16946,74638849|16946,74649637|16946,74649735|16946,74649840|16946,74662171|16946,74662268|16946,74662372|16946,74672047|16946,74672145|16946,74672250|16946,74681369|16946,74681465|16946,74681568
1rc1 16946,30429386|16946,30429493|16946,30429607|16946,30429728|16946,30472095|16946,30472202|16946,30472316|16946,30472437|16946,30533813|16946,30533918|16946,30534030|16946,30534149|16946,30586447|16946,30586555|16946,30586670|16946,30586792|16946,30633485|16946,30633588|16946,30633698|16946,30633815|16946,30708820|16946,30708925|16946,30709037|16946,30709156|16946,30749680|16946,30749809|16946,30749945|16946,30750088|16946,30776537|16946,30776668|16946,30776806|16946,30776951|16946,30812125|16946,30812228|16946,30812338|16946,30812455|16946,30854984|16946,30855094|16946,30855211|16946,30855335|16946,31216944|16946,31217051|16946,31217165|16946,31217286|16946,31245941|16946,31246044|16946,31246154|16946,31246271|16946,31277227|16946,31277340|16946,31277460|16946,38083010|16946,38083098|16946,38083193|16946,38103588|16946,38103685|16946,38103789|16946,38146902|16946,38147010|16946,38147125|16946,55307337|16946,55307439|16946,55307548|16946,55307664|16946,55763106|16946,55763210|16946,55763321|16946,55763439|16946,55908113|16946,55908212|16946,55908318|16946,55908431|16946,56099094|16946,56099202|16946,56099317|16946,56099439|16946,56212065|16946,56212165|16946,56212272|16946,56212386|16946,56235576|16946,56235682|16946,56235795|16946,56235915|16946,74720130|16946,74720218|16946,74720313|16946,87314981|16946,87315073|16946,87315172|16946,87440704|16946,87440796|16946,87440895|16946,87444502|16946,87444597|16946,87444699
1rc2 16946,30441336|16946,30441443|16946,30441557|16946,30441678|16946,30485410|16946,30485517|16946,30485631|16946,30485752|16946,30546453|16946,30546558|16946,30546670|16946,30546789|16946,30604456|16946,30604564|16946,30604679|16946,30604801|16946,30645901|16946,30646004|16946,30646114|16946,30646231|16946,30720562|16946,30720667|16946,30720779|16946,30720898|16946,30759928|16946,30760057|16946,30760193|16946,30760336|16946,30786935|16946,30787066|16946,30787204|16946,30787349|16946,30824541|16946,30824644|16946,30824754|16946,30824871|16946,30867246|16946,30867356|16946,30867473|16946,30867597|16946,31229808|16946,31229915|16946,31230029|16946,31230150|16946,31259231|16946,31259334|16946,31259444|16946,31259561|16946,31288720|16946,31288833|16946,31288953|16946,38096640|16946,38096728|16946,38096823|16946,38117569|16946,38117666|16946,38117770|16946,38161890|16946,38161998|16946,38162113|16946,75302418|16946,75302510|16946,75302609
1rc3 16946,497710|16946,497801|16946,497899|16946,38091774|16946,38091862|16946,38091957|16946,38112553|16946,38112650|16946,38112754|16946,38156346|16946,38156454|16946,38156569|16946,39289065|16946,39289161|16946,39289264
1rc8 16946,498004|16946,498095|16946,498193
1return 20024,2361
1review 19612,4549
1s 20139,1012
1short 19996,22760|20001,22760
1slide 19823,3805|19823,3945
1st 17009,8354|17009,18649|17016,1604|17019,1604|17024,8354|17024,18649|17183,623|17449,665|17684,3780|18542,8|18542,637|18542,3546|19066,1095|19172,1433|19293,1649|19601,5641|19625,9100|19662,9100|19887,3852|19888,126|19966,4045|20008,13246|20080,50
1stintroduct 20017,7374
1ststudent 19966,15671
1studio 20301,131|20302,131
1to2migr 16946,17977229|16946,17977337|16946,17977452|16946,17977574|16946,17977703
1tuesday 19982,8980
1week 19966,16041|19982,9099
1x 16946,26655956|16946,26656089|16946,26656237|16946,26656392|16946,26656554|16946,26656712|16946,26656860|16946,26657015|16946,26657177
