d01 1030,1768
differenceadil 550,27474
differenci 1091,1892
differenteib 707,10846
differentgabor 65,1388
differenti 48,6326|48,9016|151,1454|254,2956|328,1333|328,1814|328,4067|644,748|836,5086|839,1600|1264,3000|1302,9115
differentjeremi 716,948
differentjinyan 933,1864
differentrudi 1111,24634
differentwl 893,4608
differethem 1184,2049
differogram 453,2045|1069,590|1069,844
difficult 17,1372|25,3534|34,7021|80,556|133,1282|163,1404|228,1446|234,5949|254,1179|368,3123|389,6075|408,3144|418,6845|459,349|550,17810|552,13207|559,1421|559,2850|590,1545|740,3828|820,6081|1033,3123|1053,1421|1053,2850|1111,19097|1113,1128|1113,14190|1149,839|1270,1985
difficulti 116,7329|133,1386|147,1638|152,1777|256,9700|328,1795|368,4548|507,9685|568,1518|775,1513|775,1534|1033,4548|1092,504|1113,45972|1157,9706
diffrent 1015,1655
diffus 368,3339|1033,3339
dig 743,3893
dig44 478,12070|1248,17582
digest 576,2368|680,2060|836,24027|1111,9712|1111,15786
digistamp 878,2328
digit 6,535|8,338|9,535|24,4013|25,77|25,356|25,2115|25,3017|25,3888|25,4225|25,5076|28,807|34,9505|34,10826|34,15441|47,1004|47,1356|47,1601|47,1855|47,2565|48,1966|48,8207|84,2539|84,2862|99,2155|99,2716|99,14902|112,74|112,331|112,401|112,882|112,1052|112,1624|112,1800|112,2043|112,2758|112,3424|112,4036|114,354|114,430|114,1209|144,2456|144,17331|144,24749|149,6943|149,7122|149,7740|149,8712|152,1520|152,1600|152,2090|152,4949|161,1320|161,1493|161,1885|161,2081|161,2144|178,1736|227,566|272,2891|272,3214|307,1497|315,2068|321,2492|321,2524|340,1229|340,1406|340,1804|351,930|351,1898|351,2159|351,2189|351,2209|351,2569|351,2659|351,2712|353,1497|376,1677|376,1936|378,406|389,8483|389,10279|389,13814|421,2737|421,2773|421,5054|421,5090|454,299|471,5978|482,1215|513,4275|522,1063|522,1614|530,853|544,2675|549,549|549,1855|549,1914|552,2423|592,1894|592,3154|592,3176|592,3265|592,3306|604,57|604,296|604,382|604,1139|604,1380|604,1439|604,1500|604,1836|607,59|607,315|607,458|636,5538|636,6143|645,1418|645,1755|645,2236|665,1887|696,2323|707,9403|707,10093|707,10167|707,50410|732,13429|740,1429|746,74|746,340|746,572|746,1050|746,1436|746,1533|746,1631|746,2067|746,2453|746,2527|746,3023|746,3523|746,4115|746,4435|746,4446|746,4571|746,4661|746,4780|746,4945|746,5102|746,5148|746,5202|746,5583|746,5641|746,5701|746,6237|746,7363|746,7806|746,7865|746,7925|746,8842|746,9241|746,9472|746,9919|746,10131|787,2401|787,4245|801,1212|801,2110|801,3102|801,4057|811,3912|820,8966|820,10285|820,14385|836,6728|839,1516|857,1142|857,2677|857,7468|874,1629|887,764|903,51|903,284|903,464|903,1385|903,1602|903,2187|907,3140|915,1468|927,1655|931,7409|933,6769|952,1741|968,2817|980,1937|982,15775|982,15783|1077,1172|1077,2707|1077,7498|1082,1215|1096,3229|1111,23231|1111,23239|1113,19271|1113,21561|1113,29699|1113,35988|1124,3140|1144,9326|1148,1728|1169,1204|1169,1375|1171,72|1171,327|1171,964|1171,1826|1184,72|1184,336|1184,566|1184,1044|1184,2213|1184,2370|1184,2416|1184,2470|1184,3342|1184,3613|1201,1126|1235,1870|1235,11835|1250,137|1271,1157|1271,1192|1271,2374|1279,12806
digit256x10 952,966
digitali 743,3898
digitis 143,1146
digitsdmitriy 811,4009
digitsqingp 48,2063|707,3714
digitssugato 421,4833
digumarti 463,1361|463,8839|463,10608|463,13119
dii 825,3501|825,4439
diii 825,3575|825,4477
dilemma 982,10675|1229,7670
dili 418,1048|500,2862|836,525|1073,2981
dilut 259,1731|931,3206|931,3257|931,3608|931,5819|1060,2012|1100,3051
dim 282,6412|552,2860|552,2885|552,2906|707,12615|1145,10278|1192,6412
dim_sum 973,4685
dimens 33,1830|33,1972|33,2230|33,2521|33,2827|34,3973|34,4128|34,5448|34,6424|48,1100|114,1280|133,2386|151,1376|222,1146|307,3377|353,3377|358,2207|389,4387|389,4542|389,5478|389,7008|405,3917|418,8079|421,1394|421,12551|441,436|441,1170|482,2803|509,1146|550,5389|550,5465|550,5538|552,18904|552,25565|559,18510|562,2458|636,955|665,1420|707,2764|707,5002|707,7077|707,7418|707,10043|707,10114|707,10208|707,10234|707,17094|707,30750|707,38796|707,42716|746,881|746,2403|746,2474|746,2568|746,2594|746,3335|756,1356|800,11240|801,992|801,2533|801,5828|811,5770|811,5925|811,6001|811,6074|820,4393|820,4548|820,5484|820,7014|836,11708|836,21832|883,5962|883,6073|972,815|1006,2504|1006,2586|1006,2668|1053,19511|1082,2803|1092,1120|1111,7098|1111,7171|1113,904|1113,8103|1113,8258|1113,10044|1113,10983|1123,3117|1184,875|1184,2952|1235,1040|1279,998
dimension 17,1598|21,453|21,3705|33,3639|34,8613|48,743|48,1040|62,836|77,1554|78,3314|94,1128|99,2012|114,1627|122,2992|134,649|139,9150|144,3819|144,5449|144,5492|144,11102|144,11158|144,18908|144,19536|144,23164|151,1886|189,1140|203,1459|204,7703|259,1305|259,2293|259,6983|259,7364|259,9329|298,2031|305,624|307,2212|351,579|353,2212|389,9548|393,3062|400,1129|403,1999|418,8259|418,11105|421,5540|421,13983|421,16838|421,17904|421,18556|421,19550|428,1675|471,6312|471,7006|471,13500|476,2053|476,3089|476,3372|481,3100|482,1932|500,8480|500,8951|511,4499|532,2721|532,3819|532,4131|532,4509|550,1213|552,4203|552,19661|552,25424|552,25827|568,3300|602,4331|631,3262|631,3932|636,4409|636,11339|647,380|647,1117|655,6506|707,7455|707,12489|707,13443|707,41281|715,4965|715,5800|740,1078|746,988|746,9944|776,3761|776,7517|776,9609|780,2164|780,2283|801,1069|801,1619|801,8791|801,13219|811,4155|811,5415|811,5458|811,8405|811,19960|811,26628|811,27156|820,8074|822,2799|824,600|836,13762|836,22030|836,23142|836,23358|847,5533|847,6949|857,999|857,2067|857,2214|874,5188|883,4162|883,4566|907,5467|929,440|930,4005|1023,3499|1023,3772|1058,2856|1073,6071|1077,1029|1077,2097|1077,2244|1082,1932|1092,1058|1102,911|1111,5659|1111,5702|1111,6107|1111,8064|1113,2252|1113,20346|1113,31253|1113,31354|1113,31766|1123,1432|1124,5467|1167,1734|1167,1862|1171,1310|1172,2017|1178,2391|1184,982|1198,3314|1203,7703|1241,3778|1245,3620|1245,5513|1258,1716|1265,4519|1271,2978|1277,2309|1280,2992|1285,1129
dimensionalityreduct 58,2949|112,4581|368,6714|636,584|746,668|788,2949|801,621|907,5093|1033,6581|1124,5093|1171,2143|1184,662|1235,669|1245,2147|1279,627
dimensionart 811,9626
dimensionjuan 811,7060
dimert 231,1522|231,1806|495,1342|495,1611
dimin 550,8804|787,2259|1060,1749
dimitrakaki 203,2137|680,11287|811,15640|1202,4140
dimitrio 34,15619|58,8480|75,2764|78,3247|78,4565|92,700|144,3752|144,7621|164,9809|243,4129|293,11481|307,9550|349,6153|353,8910|389,13992|437,5929|469,5452|471,6939|471,7850|479,12009|482,8666|524,816|524,2251|532,2654|532,4976|544,5253|552,4136|552,5663|559,16773|563,12165|631,3195|631,4015|707,12422|707,18628|776,3694|776,4855|788,8480|820,14563|874,9057|982,14472|1032,9992|1034,4452|1047,8077|1053,17251|1081,12352|1082,10690|1113,41579|1186,5902|1198,3247|1198,4565|1199,4195|1229,11386|1235,18043
dimmer 1145,9204|1145,10136
dimmick 1171,1461
dimnet 348,2430
din 140,1441|140,1569|140,1639|140,1709
dincome1 204,3524|204,6345|1203,3524|1203,6345
dincome2 204,3557|204,6381|1203,3557|1203,6381
dincome3 204,3590|204,6420|1203,3590|1203,6420
dincome4 204,3623|204,6459|1203,3623|1203,6459
dincome5 204,3656|204,6498|1203,3656|1203,6498
dincome6 204,3689|204,6537|1203,3689|1203,6537
dincome7 204,3722|204,6576|1203,3722|1203,6576
dincome8 204,3755|204,6615|1203,3755|1203,6615
dindustri 204,3788|204,5354|204,6654|1203,3788|1203,5354|1203,6654
diner 973,2653|973,4693
diners_club 973,2262
dinesh 1097,1203|1097,7343|1097,10634
dinh 463,1102|463,10807
diningroom 1145,14384|1145,17068
dinner 687,986|687,1087
diod 522,1122
dioeerent 801,7895
dioxid 140,1553|140,1594|985,1558|1063,1558|1262,2069|1262,2097
dip 647,543|647,1280|1078,1362
dipartimento 58,3809|79,4597|112,5152|112,6741|115,2153|129,1908|267,2248|282,2254|442,673|478,3132|500,4107|500,10011|552,5168|552,15296|552,17040|552,22130|667,5146|740,2208|746,3806|746,9738|776,4107|776,8469|776,10212|776,10802|788,3809|801,4307|822,3159|836,6627|836,15758|907,6444|1087,5047|1124,6444|1158,805|1192,3176|1235,2906|1239,4597|1248,2644|1284,2003
diphas 825,3233|825,3339|825,3445|825,4366
diploma 52,4826
dipol92 99,20529
dir 163,2408
dir_data 633,116
direct 22,1661|33,2915|33,2978|33,3024|34,7719|61,2291|78,6344|87,2470|87,3389|144,13814|161,2064|161,2127|163,2446|164,5785|225,1336|251,70|251,326|251,434|307,7093|346,134|351,1592|353,7269|368,4098|389,8654|391,1021|405,3954|443,1431|459,1525|475,460|475,1958|482,6936|506,2169|588,2350|605,2434|680,6369|737,458|737,2600|756,3527|774,441|800,8868|811,13914|820,9137|829,1454|829,1731|829,3340|881,1474|903,914|904,3337|913,2488|982,15928|1015,1304|1015,2442|1027,306|1033,4098|1038,1863|1040,1654|1040,1913|1047,5657|1081,8740|1082,6666|1086,1820|1111,12875|1113,18076|1161,368|1161,1033|1161,4832|1167,2016|1177,495|1198,6344|1253,1818|1253,1879|1258,1777|1258,1838
direction_classif 737,56|737,313
directli 5,443|6,1388|9,1388|78,2104|85,2676|86,3150|169,2681|204,5865|494,6530|551,1562|605,1372|756,2026|883,4474|936,2044|980,2064|1045,1069|1111,9970|1140,13286|1198,2104|1203,5865
directlys 800,9856
directmail 982,15956|1086,1848
director 52,785|161,837|192,457|192,1227|192,2966|192,3002|192,3093|251,986|340,756|774,991|806,1509|806,2245|1107,476
directori 15,105|16,105|18,117|19,161|23,123|26,105|27,105|29,105|32,133|35,1224|37,105|39,105|42,149|43,121|45,163|51,105|53,107|54,133|56,1010|59,121|60,125|64,149|67,111|69,131|70,105|76,105|83,125|89,105|90,109|91,117|93,123|97,897|98,105|100,105|101,105|102,105|103,105|105,105|106,105|107,105|110,123|113,145|118,117|121,105|123,105|127,105|130,105|131,139|132,117|135,105|138,161|141,105|142,105|145,131|146,175|148,123|150,115|153,129|154,105|155,107|157,137|158,105|159,105|162,105|163,1852|165,105|166,105|167,149|168,105|170,105|173,105|174,105|175,105|177,105|180,115|182,153|183,1405|183,1428|187,105|190,139|193,111|194,105|196,115|197,117|200,105|206,127|207,105|210,127|211,185|213,111|216,105|217,832|217,907|217,1215|221,151|222,2675|223,105|224,111|226,155|230,105|235,105|237,113|238,105|240,111|241,139|242,105|244,105|246,105|248,105|249,105|250,105|252,105|255,115|257,115|258,105|260,119|261,191|262,115|264,105|265,105|266,1053|269,105|271,137|275,123|276,105|278,119|279,113|281,105|283,187|284,131|285,131|286,105|290,143|291,105|292,137|295,103|296,105|299,121|300,107|301,105|302,169|316,105|317,105|324,105|327,105|329,119|333,105|335,163|336,105|337,171|338,105|339,105|341,105|342,105|343,105|344,105|346,105|350,105|352,105|354,105|356,119|362,105|363,105|364,105|365,1220|365,1310|365,2251|366,105|367,157|369,109|370,105|371,119|372,105|373,105|374,105|375,115|377,105|379,107|380,105|382,105|384,105|386,105|387,105|390,105|392,119|395,159|397,105|399,105|406,141|409,161|410,105|411,105|412,105|413,105|414,105|415,105|416,115|419,127|420,1658|423,137|424,141|427,105|429,123|433,127|435,105|438,105|439,175|446,173|448,141|449,105|450,105|452,105|456,105|457,153|460,107|461,125|462,105|465,105|466,105|468,105|470,105|472,105|473,105|474,105|477,117|480,105|483,105|484,105|486,125|489,137|490,105|491,105|493,105|496,107|497,105|509,2675|512,141|514,105|515,105|516,125|517,187|521,105|523,105|526,137|528,105|531,105|535,105|537,129|538,105|541,105|543,159|546,105|547,111|548,105|553,105|555,105|558,113|560,105|561,105|566,105|569,129|570,101|571,113|572,105|573,109|574,105|577,109|578,141|582,121|583,125|587,105|591,105|594,1010|595,109|596,135|597,105|599,105|603,129|607,1409|608,133|609,125|610,105|611,145|613,105|616,105|619,105|620,105|623,105|628,109|633,105|634,121|635,105|639,105|641,105|642,105|646,155|649,113|651,105|652,167|653,151|658,105|659,105|660,105|664,105|669,119|670,119|671,167|672,105|674,111|675,105|678,159|679,103|681,105|682,117|683,137|684,105|685,105|688,135|689,131|690,105|691,105|693,105|695,105|697,105|698,105|699,113|703,105|704,105|705,161|709,127|710,101|711,105|714,105|718,105|719,105|720,105|722,125|724,105|726,105|728,105|729,105|731,93|733,113|734,149|736,145|741,127|742,121|743,1823|748,105|750,105|751,111|752,109|753,161|754,105|757,105|758,137|761,105|764,105|767,145|771,115|772,105|773,109|777,105|778,105|783,177|786,125|789,157|791,105|792,103|793,105|795,101|797,105|798,113|799,107|800,10205|802,105|803,161|804,101|805,105|808,109|813,135|814,105|816,119|819,171|826,115|828,105|832,143|833,105|838,105|841,105|843,157|844,105|845,117|846,105|849,105|852,105|854,105|855,105|861,121|863,117|866,105|867,105|868,105|869,109|870,123|871,139|872,119|873,105|875,105|876,141|877,101|880,105|884,105|886,105|888,105|890,105|891,105|892,105|894,105|895,115|897,105|900,119|901,101|908,105|909,105|910,105|911,105|914,161|917,105|918,125|919,105|921,105|924,155|926,105|932,105|937,105|938,105|939,121|942,119|943,105|944,105|945,175|946,105|947,109|949,105|950,163|951,141|952,105|954,105|955,119|957,149|958,109|960,105|961,105|962,105|963,105|964,107|965,105|966,127|967,105|969,121|975,113|978,111|983,105|984,105|986,109|987,105|989,105|990,113|991,105|992,105|993,111|994,105|996,133|997,141|998,105|1000,139|1001,105|1003,121|1004,131|1005,1266|1006,1482|1006,1513|1006,1535|1007,105|1009,131|1010,105|1011,149|1012,113|1014,105|1018,105|1020,113|1021,105|1022,111|1025,105|1029,105|1035,105|1037,105|1039,105|1041,157|1043,105|1044,105|1049,105|1052,105|1055,105|1056,105|1062,105|1064,117|1066,105|1067,105|1068,105|1071,105|1072,105|1074,147|1076,123|1079,105|1083,125|1085,105|1088,105|1090,133|1093,105|1094,105|1095,105|1098,105|1099,113|1103,105|1104,105|1109,161|1112,105|1114,125|1115,105|1117,101|1118,161|1119,105|1120,115|1121,109|1122,107|1125,105|1127,1219|1127,1317|1127,6778|1129,105|1131,171|1133,105|1135,105|1137,147|1139,105|1141,105|1146,105|1147,105|1152,105|1153,105|1154,105|1156,105|1159,105|1162,101|1163,105|1164,105|1165,105|1173,107|1175,105|1176,113|1180,105|1181,105|1182,105|1183,105|1185,1493|1187,105|1188,105|1189,105|1190,129|1193,105|1194,105|1200,105|1205,105|1207,105|1208,129|1209,113|1210,115|1211,105|1213,137|1214,125|1215,123|1217,133|1218,113|1219,167|1221,105|1222,105|1223,173|1225,105|1226,165|1227,105|1228,105|1231,105|1233,105|1234,109|1236,143|1238,161|1240,111|1242,121|1243,109|1244,105|1246,121|1247,141|1249,137|1250,105|1252,105|1254,113|1255,147|1256,105|1258,3635|1258,3701|1259,117|1263,129|1266,121|1268,105|1272,141|1274,121|1277,1176|1286,105|1290,103|1291,105|1302,457|1302,4830|1302,7131|1302,7177|1302,7462|1302,7538|1302,7642|1302,7753|1302,7805|1302,7918|1302,8209|1302,8242|1302,8290|1302,8342|1302,8408|1302,8501|1302,8694|1302,9012|1303,1224
dirska 879,1800|879,2139|879,3651|879,4023
dirt 139,11663|1279,7594
dirti 858,1011
disabl 34,12689|313,1387|389,12683|463,11552|559,13773|670,137|738,2073|787,5364|787,5434|820,12689|982,12671|982,12742|1053,11376|1091,2239|1113,26037|1237,1354|1237,1645|1237,2740|1237,3258
disabl1 204,3217|1203,3217
disabl2 204,3250|1203,3250
disadvantag 451,1106|451,1571|933,6148|1279,2749
disagr 256,11787|311,6931|355,3467|361,7215|485,8544|500,10327|507,11772|554,8710|567,3709|806,5949|836,16840|1017,5519|1089,5519|1157,12914
disagre 1138,2007
disallow 8,1975|8,2337
disambigu 114,1504|401,1674
disappear 25,3258|328,3711|707,22777
disappoint 707,6380
disast 296,141|304,2531|970,523|970,1679|1295,1952
disat 199,951
disc 36,2528|36,2695|770,2331|770,6937|770,9604|780,1324|812,1732|812,1885|812,2087|812,2186|812,3252|812,3441|812,3531|812,3613|823,2343|823,6351|823,9018|1279,6834
discag 204,6149|1203,6149
discancstry1 204,6181|1203,6181
discancstry2 204,6218|1203,6218
discard 139,886|149,13068|256,1962|507,1947|550,14315|982,10293|1157,1968|1161,3495|1279,4932
discern 738,2237
discharg 393,2152|393,2246
dischispan 204,6255|1203,6255
dischour 204,6327|1203,6327
dischour89 204,6292|1203,6292
discincome1 204,6361|1203,6361
discincome2to8 204,6397|204,6436|204,6475|204,6514|204,6553|204,6592|204,6631|1203,6397|1203,6436|1203,6475|1203,6514|1203,6553|1203,6592|1203,6631
discindustri 204,6670|1203,6670
disciplin 1,412|2,412|3,412
disciplinari 576,3536
disciplinary_failur 576,4670
discoccup 204,6707|1203,6707
discolor 293,3135|293,3401|479,3819|479,4085|563,3819|563,4085|1032,3135|1032,3401
discomfort 1144,5471
discount 365,2619|1216,2359
discountd 1241,5184
discov 17,1095|34,18136|85,2935|85,3150|115,3209|126,2886|129,3014|232,3388|267,3109|277,5561|277,5677|277,5734|328,4635|389,16509|418,6641|445,5689|451,1315|478,6962|481,2985|485,1421|500,5866|508,1323|513,1684|534,3138|550,1520|550,26085|554,1421|605,1209|614,2886|650,3144|650,4032|663,5689|732,5882|732,6305|746,3411|779,1318|781,830|787,3827|820,17080|836,9737|836,14554|874,768|973,2239|982,2996|982,17523|1073,4726|1081,14802|1113,27825|1113,34917|1229,5307|1235,4386|1248,5818|1251,3395|1270,847|1284,2940
discoveri 12,2455|31,1582|34,7199|34,8757|34,17970|48,3802|55,3986|58,4166|71,530|71,1071|78,5094|94,414|111,350|111,929|111,1703|116,2988|126,3733|143,1187|144,9208|164,5519|164,6064|164,7806|169,2944|171,2506|202,3908|202,4014|256,6384|256,6507|256,7815|256,7990|259,4845|263,764|270,4111|270,4289|277,5487|306,3972|307,6827|307,7372|307,10457|311,5355|311,5478|311,6081|314,997|320,2548|320,2671|320,3309|325,2773|328,4989|347,710|353,6827|353,6987|353,9817|361,5504|361,5627|361,6081|389,7193|389,7735|389,16343|400,2941|418,5108|418,7546|418,7669|421,5244|430,2976|430,3296|445,4984|445,5107|463,6276|471,4137|471,7379|471,7502|471,9101|482,6400|482,6654|482,9573|485,7283|485,7406|485,7860|488,589|494,515|494,4429|499,686|500,2742|500,6971|507,6369|507,6492|507,7800|507,7975|513,3596|544,3712|550,9927|550,29963|551,811|552,3612|554,7134|554,7257|554,7860|565,1225|565,1795|585,5211|606,3972|612,4251|614,4140|621,998|625,752|626,5011|636,2154|640,1546|650,3879|650,4776|656,1272|663,4984|663,5107|680,3388|680,5299|687,3022|687,4138|687,6367|687,6445|707,5426|707,15626|707,15749|707,16640|707,21582|716,2483|717,768|721,600|721,723|721,2936|732,3940|732,4063|735,3137|735,3842|735,4606|735,7822|738,1907|743,10755|743,13438|776,3546|782,1810|787,3540|788,4166|800,5579|811,4608|811,10259|820,7199|820,8218|820,16914|836,14406|862,1331|862,1523|874,4606|898,713|916,5055|933,812|933,2339|933,3028|933,5428|933,5603|933,13831|936,469|936,2281|936,4092|956,816|982,3517|982,3640|1017,4258|1017,4381|1017,4835|1047,5519|1047,5936|1047,8984|1054,631|1060,4012|1061,35485|1061,35581|1065,413|1073,2747|1073,4335|1073,5001|1073,5124|1081,7815|1081,8492|1081,17332|1082,6400|1082,6945|1082,8687|1089,3926|1089,4049|1089,4835|1097,2409|1097,3982|1097,8549|1097,10122|1097,11840|1097,13413|1105,2425|1105,2487|1110,3179|1111,2794|1111,3461|1111,12034|1111,12500|1113,14368|1113,19464|1113,34751|1138,633|1145,18893|1157,6390|1157,6513|1157,7821|1157,7996|1168,2451|1191,4533|1196,743|1198,5094|1229,5439|1229,5562|1235,4031|1245,2838|1264,1564|1264,2326|1264,3630|1285,2941|1297,3218
discpob 204,6741|1203,6741
discpoverti 204,6773|1203,6773
discpwgt1 204,6809|1203,6809
discrearn 204,6843|1203,6843
discrep 201,1624
discret 34,13293|34,13554|48,5656|56,1437|56,1970|78,6655|79,4942|99,21302|115,3859|116,3926|129,3859|139,2729|139,5213|144,13602|144,15351|171,1814|171,1870|204,1562|204,1586|220,1326|247,3209|254,1636|254,1762|254,3070|254,4756|256,2867|259,8499|267,3954|277,6801|282,4060|282,4121|282,4261|282,7108|304,4087|306,4042|321,2645|368,8407|389,19713|389,19974|398,3065|418,5558|418,8835|421,11706|469,3554|471,9247|478,8833|500,5540|500,10149|505,1526|507,2852|511,2531|511,3096|520,2350|530,2132|550,8654|552,6209|552,6288|552,6448|552,13351|552,13404|552,13641|552,24128|588,4417|588,4524|589,3302|594,1437|594,1970|602,2531|602,3096|606,4042|607,1208|615,37|615,278|615,369|615,1395|615,1527|615,1588|615,1972|640,1633|640,6339|667,5392|687,5344|696,1452|701,1238|701,2780|701,3164|707,22632|735,2256|770,2197|770,6803|770,9470|776,5013|776,6366|787,927|787,1407|787,2109|801,6560|820,20284|820,20545|823,2209|823,6217|823,8884|827,1436|835,2350|836,11057|836,11278|836,16276|836,16725|893,4247|893,4350|893,5718|893,6278|907,7020|922,1152|922,1893|922,1940|979,1328|979,1475|979,1651|979,1695|982,8605|982,9997|982,13829|1033,8407|1054,1081|1073,4405|1084,2507|1087,5392|1111,8855|1111,12961|1111,24273|1111,24376|1113,26530|1113,26596|1113,33782|1113,34043|1113,38436|1113,38475|1124,7020|1144,411|1144,1212|1144,4280|1150,398|1150,1091|1157,2873|1186,1626|1192,4060|1192,4121|1192,4261|1192,7108|1197,480|1198,6743|1203,1562|1203,1586|1235,7931|1235,11055|1239,4942|1241,6476|1248,8833|1279,5597|1279,6424|1284,4260|1289,602
discrete_tone_imag 613,116
discretecharl 1111,25179
discretizedxiaoyong 1186,1488
discrim 282,2995|1192,2565
discrimin 11,6109|11,6696|14,1048|34,2197|34,14183|61,1894|61,2679|61,2804|61,2852|78,437|86,2330|86,5225|99,12153|99,24005|116,7075|139,9732|139,9884|139,12737|139,12775|144,6974|144,15816|144,22295|149,2317|149,4365|149,4594|164,4089|164,9297|164,11136|178,4364|199,1838|199,1998|218,1155|234,975|247,1775|256,2789|293,9130|298,519|307,2318|307,5397|307,9038|310,1211|311,4979|315,349|351,1105|353,2318|353,5397|353,11308|361,4355|368,1723|368,1877|378,1728|389,3262|389,20603|398,622|398,4204|421,20437|455,1174|479,1283|479,9658|482,2037|482,4970|482,8154|485,6270|492,2051|507,2774|511,4696|519,1232|525,2199|530,1490|532,1626|550,4802|550,11799|550,24521|554,6758|559,19192|563,1283|563,9814|568,2831|598,1430|598,1489|602,4528|626,7118|631,2935|632,1690|643,2119|655,4878|655,5125|655,5366|655,6342|655,6381|680,2485|680,4459|687,5079|687,10435|706,888|707,16355|735,7297|740,5360|740,5399|740,8822|740,8963|740,9199|743,8750|745,3401|755,1846|755,2203|755,2311|755,3584|776,1084|780,703|780,1014|780,1915|800,14171|801,1544|811,1609|811,8137|820,3268|820,13127|822,4126|822,4165|822,5344|847,493|847,1219|874,8108|907,5610|931,9494|933,12357|936,5347|952,983|952,1086|1017,3245|1028,1920|1028,2735|1032,10995|1033,1723|1033,1877|1047,3777|1047,7565|1047,11136|1053,19670|1081,4816|1081,11633|1082,2037|1082,4970|1082,10178|1089,3389|1111,2984|1111,3057|1111,7887|1111,19783|1113,3989|1113,23411|1113,39330|1123,3051|1123,3090|1123,3335|1124,5610|1157,2795|1198,437|1199,1897|1235,13669|1267,1729|1271,2854
discriminateji 256,5174|507,5159|1157,5180
discriminatori 95,1886|933,3403
discript 952,1411
discrpincom 204,6880|1203,6880
disctravtim 204,6917|1203,6917
discuss 22,3428|34,20140|88,3898|144,1557|144,12610|149,5853|202,1245|256,8566|282,4626|282,5954|298,3740|304,1813|330,1387|360,1072|389,18513|421,2440|421,10305|481,2001|507,8551|520,1637|534,516|534,1093|550,29689|552,8985|636,4760|636,12673|707,13794|707,40462|716,1613|723,460|723,1459|732,9814|770,9134|775,1988|775,2217|775,3832|787,5697|800,1523|800,3963|800,13377|801,8017|801,9967|806,2429|806,3549|811,11570|820,19084|823,8548|835,1637|836,1713|836,2808|836,5256|847,5156|881,1450|881,1624|881,3293|881,3462|881,3522|881,3556|881,4321|881,4591|1105,1513|1113,26979|1113,37692|1157,8572|1186,1256|1192,4626|1192,5954|1253,3325|1258,2471
discweek89 204,6954|1203,6954
discyrsserv 204,6989|1203,6989
